,Comment,Predicted_class
0,拜托快更新,無問題
1,"更新後歌詞字越大，越會吃字完整歌詞顯示不出來，還得一直去調整歌詞大小才能完整顯示出來，但老人家視力不好看歌詞很不方便，希望改善
謝謝🙏",無問題
2,"還有為什麼14.2 小工具歌詞又不見了
鎖屏也看不到歌詞 
那出歌詞功能到底有什麼意義⋯",無問題
3,"希望在歌單裡面搜尋到的音樂，也有選項可以把這首歌從歌單中刪除
其他都很好用👍🏻",無問題
4,"歌詞比較長的句子
歌詞沒辦法完整顯示",無問題
5,以前都可以無限次數離線播放音樂，為何現在改成一定要有白金會員才能離線播放音樂？,播放問題
6,自從更新以後離線歌單內有HIFI的曲目都沒辦法聽了，會一直出現很久沒上線的通知，但開啟上線後問題還是沒解決,其他問題
7,聽歌聽到一半突然閃退 重開也是會,閃退問題
8,扣款了而且日期還沒變還去上傳很多次了還是不能聽歌是在騙人扣款嗎,其他問題
9,Ios版 將KKBOX更新至最新版但是一直無法變更音質設定（wifi跟行動網路都一樣）🤬,無問題
10,更新後發現歌詞小工具不見了😞😓😭,無問題
11,"強制自動同步莫名其妙，不同裝置就是想聽不同的不行嗎？
另外同步前連提示確認都沒有是怎樣，根本沒考慮不同使用者的需求😡",無問題
12,"全部歌曲七百多首
連線歌曲一千多首
不一樣是三小",其他問題
13,"到底是怎樣更新完一直斷線叫上線，
一首歌聽完就斷，
想離線聽也不行，
強制上線？
用這麼久第一次這麼火大，
叫我跳槽去Spotify?????????",其他問題
14,歌單可以不要同步嗎！,無問題
15,如題,無問題
16,你要同步就算了，你要新增自動同步功能就算了，還不讓人家選擇不要自動同步，我家裡公司手機都有不同的歌單設定，每個設定都是我好幾年來的累積，現在全部混在一起，我就問問這App誰寫的,無問題
17,"同步歌單 之前明明還可以取消的啊
這麼這次打開手機 
發現同步歌單
在設定裡面 也找不到
真心的感到傻眼
還是有什麼其他方法
可以解決這問題",無問題
18,為什麼房東的貓的歌有好多不能聽了😢,其他問題
19,"更新後發現歌詞的介面改了😭😭😭
真的很不喜歡QQ 覺得舊款的比較好看
不然建立個設定可以讓歌詞置中！
拜託讓歌詞置中😭😭😭不然歌詞在旁邊讓我都不想發ig了😭",無問題
20,有時候apple watch歌詞會卡住 希望可以優化,無問題
21,請恢復讓使用者可以自行決定自動同步的選項！讓不同裝置能夠有專屬的播放歌單，不要強迫自動同步，帶來使用上的困擾！,無問題
22,可以把歌單同步功能關掉嗎，這樣真的很困擾,無問題
23,歌單不能自己選擇要不要同步,無問題
24,很讓人感到困擾,無問題
25,"希望歌詞可以變回原本置中的格式🥺
看起來較舒適",無問題
26,是有什麼問題啊？硬要把歌單自動同步 不知道這樣對別人造成不便嗎？是不會先通知一聲嗎？自己自以為是改掉到底要害別人浪費多少時間把原本的歌弄回來 是在搞笑是不是？？？？？？,其他問題
27,憑什麼強制啊⋯⋯==,閃退問題
28,"最近的版本更新後， 原本已經下載的歌曲或是收藏的歌曲多數跳出「離線使用中」要我立即上線。但是我已經是上線中的狀態。
是否為更新版本後的瑕疵呢？
雖然歌曲重新下載後就可以正常收聽，但是挺困擾的。
Ps.我是iOS系統",無問題
29,不管是上線或是離線使用，聽沒幾首歌就要停下來回復KK系統的通知，更爛的是就算回復了還是會重複跳出同一個通知，根本不能聽音樂！請盡快修正！,無問題
30,希望取消同步歌單的功能，至少讓使用者有辦法自行設定要不要同步,無問題
31,如題,無問題
32,可以不要強迫自動同步歌單,無問題
33,"為什麼要把歌單同步的功能移除
這樣每個裝置的使用習慣，都會混在一起
很麻煩
希望可以改回來",無問題
34,之前不會 現在聽沒幾首歌 自己就停止 然後說要重新上線 但我聽的是離線後可聽的歌？,其他問題
35,"用離線歌曲聽音樂
現在有時聽個2.3首就會直接暫停音樂
按繼續播放過幾秒又停
更新之後閃退很嚴重
音樂播到一半停止
app關閉
已經很多次了",無問題
36,更新之後  打開app一直自動同步歌單  跑很久  直接當機,無問題
37,"這次更新之後一起聽無法播放
都會說有人使用KKBOX及將停止下載
問題是 只有我一個人在使用==",閃退問題
38,多人共用帳號真的會很不方便,無問題
39,"希望不要自動同步
跟之前一樣有選項比較好
不想要同步的話這樣很不方便",無問題
40,能不能不要強迫歌單同步,無問題
41,約11月開始收到12/4到期通知，已告知事先要取消得到回覆是要在當天才能做取消；等到約12/2我再撥打電話取消合約，竟通知已無法於合約期滿前取消，會酌量收取費用；結果今天帳單來一看，居然收取完整一個月的費用（服務於12/5即取消）,其他問題
42,這還用說，爛字該檢討，請加油！,其他問題
43,"然後就停止播放！

查過登入紀錄只有我一台手機，也改過密碼。

都沒用！ 請快修正！",帳號問題
44,最近用手機播Kkbox都會聽到一半斷線，說有另一個地方也在使用，但我沒有用其他裝置聽也沒有給任何聽過,無問題
45,"一個帳號好幾個人用 
自動同步後的全部歌曲有4千多首！
希望能把歌單自動同步關閉
或者是讓使用者自己選擇是否要開啟！",無問題
46,明明一直播放但音樂卻會自己斷掉然後說太久沒上線， 更新完已經這樣四、五次了，希望可以改善，謝謝。,無問題
47,"1.我想要可以馬上看到某首歌的播放次數，不要每次都等年度總結才知道，而且總結也只計算到12月初，不是應該在1月初上線，計算到12月底才正常嗎。

2.有時候聽到某首歌以後想刪掉這首歌，就要到歌單裡慢慢找到這首歌才能刪掉，希望有一個可以定位到「現正播放中」歌曲的功能，如果歌單只有幾百首歌還好，我歌單有兩千多首歌，每次想刪歌找好久，還要自己記歌手大概在哪個位置.....",無問題
48,我是spa業者，一開始覺得你們很貼心有分類音樂，但整整三年輕音樂完全沒換過   太差了,無問題
49,"不知道是不是有bug
安全性調整
已經
1.完全沒有連結
2.密碼更換

仍舊一直斷線，說帳號有其他人使用，問題是我剛辦一個月，帳號只有我在用⋯怎麼會出現這樣的情形？",其他問題
50,桌面配件的歌可以放自己聽的歌嗎 因為真的沒有很在乎熱門新歌是啥 謝謝惹拜託 不然我要改用apple music惹🥺🥺🥺,無問題
51,嚴重到我都刪掉重下載還是一樣，跟網路無關，我換了好幾個地方的5G試了,無問題
52,"希望可以多家人共享的方案
還有Shazam辨識完可以直接在KKBOX使用

希望歌詞分享可以不要有白底
最原始的歌詞分享比較好看",無問題
53,既然不採用我的歌詞何必浪費我的時間給所有會員權限投稿歌詞？,無問題
54,延伸播放時常沒有作用⋯⋯,無問題
55,"1.為什麼在ios 的小工具只顯示推薦歌曲，spotify 可以播放自己收藏的歌單，大部分時候只想聽自己的歌單很不方便
2.就算點進app也不能一鍵播放自己的歌單，希望介面可以直覺一點，不然歌再好也會被其他app取代",無問題
56,開始寫心得才警覺，使用的經驗算這麼資深了，當年從kkman轉介開始用kkbox，一路看著它的變化與成長⋯⋯能黏著到今日，也是覺得好用，與時俱進，有企圖心。其歌曲庫豐富，分類清楚好使用，跟得上流行腳步，這兩年開發出的類似歌曲推薦運算能力更深得我心，不看電視的我，kkbox是我接觸流行音樂的門戶。希望它不停止成長，讓大家能一直使用下去。,無問題
57,"自動同步歌單功能 對帳號共享的用戶來說真的很不方便 而且這個功能還不能關閉？？？？？？
不懂為什麼要強制這樣 一早起來我的歌單全部變成別的人歌單了 想刪又怕對方那邊也會被刪掉 希望可以使用手動同步 或關閉自動同步的功能",無問題
58,"以前使用iphone在車上以藍芽播放kkbox,一段時間沒動螢幕，螢幕只會變暗只要碰觸到螢幕就會再度亮起，自從某次更新後（除了歌詞頁面）都會在一段時間後自動關閉螢幕，請問能改回之前狀態嗎？",無問題
59,更新完之後，播完單曲後無法自動延伸播放類似曲風的歌,無問題
60,如題,無問題
61,希望可以有播放清單的widget,無問題
62,"新下載要註冊，密碼欄位不能按
麻煩請改善！",其他問題
63,謝謝KKBOX小隊讓動態歌詞總算從一開始大改版的置左改回成置中，已經看了10幾年禁不起大變呀🙈,無問題
64,我看到你的哀怨了😂辛苦了😂,無問題
65,耶！歌詞終於恢復到原本的樣式了！,無問題
66,"在歌曲播放中的頁面，
最上面的功能鍵會卡住，無法點選回首頁或使用搜尋功能，
更新了問題仍然存在",播放問題
67,感謝小編的回覆.問題已解決,無問題
68,"更新後歌單強制同步 還無法關閉自動同步
大概猜想得到是要杜絕一個帳號多人使用 但有沒有想過有些會員是同一個家庭 一起用應該不為過吧
強制同步後歌單不見 歌曲全部混在一起是真的造成很大困擾
都已經很支持了 用了很長一陣子的白金會員 實在覺得失望跟無奈",無問題
69,播放歌曲時無法按照順序播放，會亂跳！,播放問題
70,不好意思 可以麻煩把歌單自動同步的選項開啟嗎？,無問題
71,越改越怪耶！越改越不方便！自動同步歌單？歌詞吃字？音質到底要幾個選項？新歌單最上方但新歌曲在最下方？what’s wrong with you?,無問題
72,用fb登不進去,帳號問題
73,使用其他程式時不能顯示歌詞,其他問題
74,"好多歌的歌詞都看不到
還有希望很多本來可聽的歌現在未授權的可以重新上架",無問題
75,"有些歌都沒有
我們這些付錢都是大頭就對了",其他問題
76,不要強制同步歌單 爛功能 請改回來,其他問題
77,"最近不知道過幾次的更新之後
聽過的歌下載後都不會增加到「全部歌曲」裡面欸
真的很困擾😭",無問題
78,希望可以有更多hifi歌曲,無問題
79,"歌詞不能改回置中嗎:(
現在靠左雖然能夠調整字體大小
但是有些比較長的歌詞後面的字會被吃掉
還是比較喜歡之前的歌詞顯示模式ಥ_ಥ",無問題
80,以前歌單同步可以開啟關閉，現在變成帳號內建開啟？覺得不方便,無問題
81,沒辦法退訂欸幹 想變成月租149不給換的 又不是不租 他媽是多想要錢啊 斂財嘴臉,閃退問題
82,搜尋功能會自己跑到最上面 完全按不到,無問題
83,在播我的歌單突然播其他歌 還幫我下載？,其他問題
84,2020年度歌單裡面完全是我沒聽過的歌，我的帳號應該是被盜了...,無問題
85,歌詞置中，在歌詞動態顯示上是較為美觀而閱覽舒適的方式！希望能提供選項，讓習慣多年的使用者，可以自由選擇『歌詞置中』或『齊頭式對齊』，謝謝！,無問題
86,"希望多增加一些功能
例如：編輯收藏歌曲的順序、將手機內的歌曲加入收藏...等",無問題
87,開啟app後要進入選歌前的logo那邊要等超久....有時候還會閃退！,無問題
88,之前用xs max插耳機聽音樂可以用耳機播放暫停，但至從換了12pro插耳機聽音樂卻無法，還要用手機去按暫停，這樣使用有點不方便！,無問題
89,更新ios14.2後，使用carplay暫停與播放無法使用喔～,閃退問題
90,新版歌詞沒置中、顏色又不清楚看得很吃力，拜託給使用者改回以前版本的選項。,無問題
91,今日不能取消訂閱」，我是不是該找消保官？,其他問題
92,明明到上一版為止的歌詞顯示方式是最棒的，結果你把最大的優點改掉了...,其他問題
93,我之前用都沒問題 但最近我只要按重播就會當掉一直重播那一段 根本沒辦法聽歌😞,無問題
94,會突然跳提醒然後開始播放音樂,無問題
95,為什麼歌單會自己同步還找不到關掉的地方了？？？跟家人共用這樣超級不方便，不改回來到期之後就不繼續用了。,無問題
96,有些歌手有唱過的歌曲 居然沒有收錄 真的真的很..........,無問題
97,MF DOOM 的專輯少了很多張 希望能補上,無問題
98,"為什麼要刪掉歌詞的小工具
有了那個可以不用點開就看歌詞很方便為什麼會刪掉希望可以儘快用回來！",無問題
99,"很多歌曲都沒辦法聽，沒授權？
一個月還要149⋯⋯覺得很不划算。
打算邀請我的好朋友一起申請推掉了。謝謝 ！",無問題
100,問題已改善,無問題
101,"一直以來都是用kkbox，一些更新也覺得很棒，但這次更新的歌詞介面感覺失去了kkbox的特點
置中的粗黑體才是經典ㄚ⋯⋯⋯
截圖起來也比較好看⋯⋯⋯嗚嗚希望可以變回來⋯拜託了",無問題
102,如標題,無問題
103,是我自己的問題還是大家的AirPod在使用的時候無法用AirPod 去換歌呀,閃退問題
104,整天在那邊叫人更新爛透了,無問題
105,以前鎖屏時的動態歌詞還能夠恢復嗎？那項功能我最喜歡了,無問題
106,能不能出個可以編輯歌曲順序？,無問題
107,"更新後歌詞怎麼沒有置中了
強迫症看了生氣😡",其他問題
108,歌詞不會自動下移，很不實用；字體反白，讓視覺吃力！改版超失敗，難用！,其他問題
109,Youtube的一些歌曲都沒有，都有提及客服中心到現在卻沒有回應,無問題
110,"希望能夠自行選擇歌詞的介面
比起現在的更喜歡之前的樣式",無問題
111,"更新後一點開就閃退⋯
一整天了⋯⋯怎麼辦😭",無問題
112,如題,無問題
113,靠左真的很難看！不太懂為什麼更新是把自己的優點改掉？,其他問題
114,"如題
有時候想選一些歌曲 到某歌單 或收藏歌曲
卻發現只有刪除的功能
希望可以添加其他功能 謝謝🙏",無問題
115,歌詞新增的功能很喜歡，可以為了一段歌詞停留在那,無問題
116,比較喜歡以前的歌詞提示方式，現在不明顯,其他問題
117,更新後歌詞變左邊 有夠醜 原本中間不好嗎？,無問題
118,希望可以改成之前的歌詞介面,無問題
119,電視版的排行榜為什麼不見了,其他問題
120,🙏🙏,not Chinese
121,"希望歌詞頁面可以改回之前的版本ಥ_ಥ
之前那樣置中比較舒服
如果沒改回來 或多一個自訂選項
可能不會再繼續用kkbox了",無問題
122,Siri無法設定,無問題
123,希望可以橫向聽歌看歌詞,無問題
124,"不知道KKBOX是否有與歌曲搜尋的app串連？
例如Shazam
假如有的話，使用者在找到有興趣的歌之後，就可以直接在KKBOX匯入，
這樣非常有效率，謝謝",無問題
125,拜託,無問題
126,歌詞改版的介面不好看，希望可以改回原來置中的介面。,無問題
127,不能用音質hi-fi,無問題
128,點進去廣告 直接壞掉 到底😀,無問題
129,跟Spotify相比不管是在操作跟介面真的非常弱,無問題
130,推薦的歌都蠻糟的，整體服務體驗又輸 spotify 太多，只贏在歌詞同步（暫時）,無問題
131,希望可以配合 ios14 推出小組件放在主畫面,無問題
132,"可以自訂嗎？
偏左很醜。",無問題
133,請儘速改善更新後XR打開app搜尋功能跑到手機最上端與時間電信公司名稱同一排，造成要不斷關掉app重開每跳出去一次就又發生相同情況，非常困擾！！！,無問題
134,歌詞介面是改版了嗎？ 怎麼跟之前不一樣了 比較喜歡之前的ㄚಥ_ಥ,無問題
135,"拜託🙏 把歌詞改回原本的樣子
看到真的傻眼 很醜😂
等改回來我再改回五星",無問題
136,無法播放指定歌曲，只能播放指定歌手,播放問題
137,未來白金會員可以直接享有hifi音質嗎？還是還需要加錢？,其他問題
138,前陣子因為生日🈶️優惠，2個月才99元，但是，根本95%是無法播放，永遠都顯示網路中斷無法連線，手機明明都可以上網，也可以用別家的聽歌⋯之前曾經正常付費時，都沒有這個問題，如果為了挽回消費者，卻又因為優惠便宜，而用名目限制消費者的使用，根本是騙錢呀⋯⋯⋯想試試重新下載看能不能解決問題，卻直接不給登入，才付錢多久根本都不能用，麻煩請退錢！！！,播放問題
139,"ios14歌詞小工具不見了
用官網的方式找尋
完全沒有看到",無問題
140,您好～希望歌詞排版能改回原本置中的樣式，或者開放兩種樣式以供選擇嗎？其他功能都很好用，謝謝～,無問題
141,經致電貴公司後問題解決,無問題
142,Apple Watch 6 明明有行動服務、但打開卻沒出現情境電台、曲風電台的選單、更新最新了，還是一樣、跟這畫面上的圖不符。還是只能操作手機做成遙控器而已。,無問題
143,可以改回置中嗎⋯⋯,無問題
144,歌詞改這樣跑真的不太好看，隱藏了未到歌詞,無問題
145,歌詞顯示的方式可以改回舊版的嗎，更新後覺得歌詞的排版不如以往直覺,無問題
146,不然看的很不舒服ಥ_ಥ,無問題
147,簡訊跟mile會自己寄過來,其他問題
148,可以把歌詞置中改回來嗎⋯⋯,無問題
149,超爛,無問題
150,Widget歌詞找不到,無問題
151,"某一次更新後 只要搜尋過一次歌曲後
最上面一排的選單（搜尋bar、排行榜、podcast....那些）都會被手機的瀏海.電池時間列擋住無法點選，可以調整一下介面嗎？",無問題
152,新介面的搜尋功能，沒辦法清除最近搜尋紀錄,無問題
153,可以試聽看看,無問題
154,我覺得可以做一個按鍵是把歌設成下一首待播放歌曲,播放問題
155,iOS14什麼時候有hifi?,無問題
156,希望iOS的小工具可以新增播放暫停上下首功能 不要只能看排行榜,無問題
157,如題，我個人在聽我英文歌時會希望有中文歌詞，會換用youtube 聽音樂，這樣換來換去很麻煩，如果這邊在聽外文歌時有中文歌詞或可以自己新增的話就太棒了,無問題
158,"我的kkbox無法自動延伸音樂
已經講自動延伸打開
ios 14
Kkbox已為最新版本
也將不循環播放打開
但到最後一首歌停了就說無下一首歌曲播放",無問題
159,"請問為什麼現在沒辦法分享歌詞到ig了～～～
之前還可以！！
以為是因為不是最新版本更新之後還是一樣
按分享之後有選歌詞的部分
但卻不能按分享的按鈕
請幫我解決謝謝～～",無問題
160,"一打開的那個kkbox動畫太久了 每次都等得很不耐煩
有些歌會突然未授權，然後就再也不會出現了",其他問題
161,Widget那邊沒有歌詞小工具的選項，希望可以盡快改善😭😭😭😭謝謝,無問題
162,"如果能把flac音質下放到除了中華電信以外的裝置
我相信價格方面是可以做問卷統計看看的
不過根據目前狀況來看
我覺得約199是大部分人對於hi-res的接受範圍",無問題
163,"此兩種版本已經停更了嗎？
習慣用他們聽歌都不能聽了，悲劇⋯",其他問題
164,有時候會斷斷續續 然後就沒聲音,其他問題
165,"下午還能聽歌好好的 晚上莫名其妙登不進去 
明明帳號密碼打的都是對的啊 我還重新下載了問題一樣拜託快點改善",無問題
166,"用kkbox十多年了
第一次使用這麼不開心
新歌更新慢不然就是沒有
這些都算了
我都還能接受
我是王嘉爾粉絲
我天天聽王嘉爾的音樂
粉絲徽章一出來
你給我汪X龍跟謝X弦？？？？？
什麼意思🙄🙄🙄
都好幾天了不給我換掉也不給我王嘉爾的徽章
非常無語
可以給我王嘉爾的徽章嗎🙄",無問題
167,"為何沒有之前2003年抗SARS群星合唱的《手牽手》
這首歌建議好幾次 都沒上架 傻眼",無問題
168,希望能有這個東西,其他問題
169,這一版，有些功能都障礙了，很難敘述...,無問題
170,哼歌無法辨識歌曲，即使原曲音樂播放搜尋也搜不到！,無問題
171,更新後開啟FB後音樂都會自動暫停,無問題
172,為什麼我登不進去？,其他問題
173,好用方便音質很棒！,無問題
174,請問我i11 更新ios14 後 畫面都會跑到瀏海部份，（收訊音樂、向下箭頭等） 然後就無法使用，需要滑掉重開。有辦法解決嗎？,無問題
175,我找不到她的一首歌歌名叫我心裡痛,其他問題
176,"更新完只剩排行榜
歌詞小工具不見了",無問題
177,把演唱會資訊整合到歌手頁面，再透過KKtix訂票，可以，這個完美程度很蘋果👍,無問題
178,如果不用付費應該就會有更多人用,無問題
179,很多歌都沒有 填了歌曲建議申請單 就像是石沉大海一去不回 只會搞些有的沒的噱頭 賣票搶票 改一點不實際的主題更換 針對使用者體驗部分進步超緩慢 其他像s還是youtube都有出播放軟體了 現在不是十年前那種市場了 請你針對現在的使用者需求增加該有的歌曲 付月租費不是要讓您改那些有的沒的想聽的歌聽不到 音質無法提升 介面卡到蘭教臉 操作一點也不流暢 再不改進就掰掰,無問題
180,很多歌都沒辦法聽，甚至搜尋某歌手的時候歌單都不是最新的！！！,無問題
181,聽一個小時後就一直轉圈圈不知道在轉什麼意思的,無問題
182,更新後無法把歌詞放到小工具內，只剩綜合新歌排行榜了，麻煩請改進,無問題
183,"歌單同步開啟後
每次打開KKBOX app
都卡住，必須同步完畢
才能點擊",無問題
184,希望之前的時間排序可以恢復使用 不然原本調整好的歌單瞬間亂掉,無問題
185,請問最近的版本跟以前的版本比較，是不是會損耗比較多的iPhone 電力？如果是的話，真的耗電很嚴重,無問題
186,"雖然已經很棒了
但還是希望有更多知名的歌
像一些大陸選秀節目的歌😂",無問題
187,早安,無問題
188,更新完，電台功能沒了，想退訂了⋯,閃退問題
189,希望播出順利,無問題
190,不穩定性,無問題
191,IOS點選歌曲歌詞以後，左上角的返回鍵沒有反應，一直卡在目前播放歌曲歌詞的介面。,無問題
192,最近更新完使用iPhone 6plus ，ios12.4.8版本播放音樂時大約過10分鐘就會自己閃退停止播放⋯。請幫忙協助修正，謝謝！,閃退問題
193,我的上排返回鍵那些 都會跑到iphone 瀏海去時間電量的位置 可以解決一下嗎？不然無法返回 要一直重新打開,無問題
194,如題，最近聽到一半都自己自動退出，不知道是自己手機的問題還是系統怎麼了，覺得困擾,無問題
195,如題,無問題
196,"延伸聆聽的功能到底要在什麼情況下才會出現..
之前線上搜尋一首歌 之後就會延伸下去
上次更新完之後怎麼就沒有了
又不能手動開啟
可以給我一個答案嗎",無問題
197,無法使用搜尋🔍是要怎麼用,無問題
198,每日20首沒送,無問題
199,"更新的widget實在很不實用
完全不會去聽新歌排行
也沒有其他選擇",其他問題
200,希望能多一點人轉聽正版音樂 但要他們轉換不付費觀念真的很難 所以希望能像Spotify Apple Music 那樣能有家庭方案 一個發起人把大家都加進來 錢均攤下來比較便宜相對也比較好推廣正版軟體,無問題
201,"歌詞不見了QQ 
而且widget的排行榜都是我不喜歡/沒聽過的音樂，希望之後能有更新成自己的歌單/西洋歌單之類的功能。",無問題
202,更新前就會一直跳出需要更新的通知原本想說忽略但是一直跑出來，所以就順手更新了，更新完後就再也進不去了...........打開一定閃退,無問題
203,更新後歌詞常常卡住無法滑動瀏覽,無問題
204,"很少在聽國語流行歌曲
放那個熱門排行榜真的一點幫助也沒有
好歹也讓人自己選擇音樂類型吧！
再不然用成歌詞功能也很棒呀！
覺得你們有在持續進步，但希望小工具可以實用一點。",其他問題
205,"不知道為什麼 Apple Watch的KKBOX 
收藏歌曲點開後
一直出現不明錯誤 請稍候再試
請問該如何處理",無問題
206,請問辨識歌曲的功能還在嗎,其他問題
207,"懇請KKBOX 的小工具可以客製化一點
感覺不是每個人都會只想聽綜合新歌吧
選擇播自己的歌單的小工具真的會更實用",無問題
208,睡眠定時播放可以新增播放幾首音樂後播放結束，不然聽到一半時間到了卡歌很不舒服。,播放問題
209,如同標題 蘋果更新到14後 發現動態歌詞沒惹😭😭😭😭 求他回來 😭😭😭,無問題
210,請開放，歌單同步的功能，能自己選取是否同步的功能,無問題
211,希望是有音樂的分享～～～不是歌詞而已,無問題
212,KK至少有用12年以上了吧！！曲庫裡面一堆未授權的歌曲？？？起碼也請保障我們這些老客戶的權益吧！！！  新歌沒有多好聽，想聽一下老歌放到一半就未授權、未授權、未授權⋯⋯⋯起碼至少我也是花錢聽的，卻還要去放盜版的，是？？？,無問題
213,圖示可以換回原來的嗎 現在這個不太好看,無問題
214,"希望傳送歌曲到apple watch時有全選功能
一首一首按要按很久～",無問題
215,"少了好多專輯😭
那我也要拋棄KK了

版權的問題好久⋯
沒歌好聽了😫",無問題
216,"先給小編5顆星
能否新增一些歌曲，有的只有別人的翻唱版或演唱會版。
例如：信樂團的離歌、趙傳的我是一隻小小鳥…等等。",無問題
217,我當時誤刪歌單，回報客服後兩天，工程師就傳訊息說已恢復，這樣的效率我給予滿分！,其他問題
218,不知道是手機還是app的問題播放音樂退出app要做自己的事情的時候就不能播放了,播放問題
219,"這評分真的完全針對小工具，其他功能都沒問題
IOS14剛出的時候我就很期待你們出桌面工具了
結果剛剛看到終於有更新，原本很期待，新增完小工具卻發現根本不是一般人需要的播放暫停跳歌用的小工具，真的有失望到，所以非常希望日後可以有相關功能",無問題
220,"無法正常用手機放出聲音 刪除軟體重新下載也一樣
只能插耳機聽音樂 我手機其他音樂或鈴聲都正常可以用手機放出來 請幫忙找出原因解決謝謝",無問題
221,Widget本來不是顯示歌詞好好的、怎麼變成推播新歌、這樣功能有啥必要呢、比起歌詞來說是雞肋,無問題
222,"iOS的介面會一直跑掉很惱人
上方會超出整個螢幕",無問題
223,"喜歡某個歌手，想聽跟這個歌手類似曲風的歌曲。以前點電台就有，非常好用。

請把這個功能加回來，評分就會改回五顆星，謝謝。",無問題
224,我已經續約按帳號密碼登入但app說我約滿，請我是否要續約，之後重新下載app才解決問題的只是覺得為什麼資訊沒有同步呢！,無問題
225,"還滿惋惜的！我不太清楚版權的方面～還是有點希望未來那些歌曲能夠回來。雖然貴軟體需要每個月付費，但是純正的正版並且歌曲豐富多元！收費也是平價親民～很習慣使用你們軟體了(´･ω･`)
可是啊你們能不能不要一直叫人更新啊，更新就要連接WIFI超麻煩！我很懶⋯⋯",無問題
226,非常好用,無問題
227,更新後打開kkbox會當機、聽歌會閃退 不知道是什麼原因？,無問題
228,音質感覺不優有待加強,無問題
229,播放模式希望有DJ模式，功能就是自己排歌播放順序，現階段都要守在撥下一首，特定用歌單已經有十幾本歌單還是沒辦法用到。,無問題
230,很多歌曲想聽都沒有,無問題
231,"自從更新了ios14. 後。畫面都會自己往上移。

上一頁的選項跟右上的時間會重疊。
歌名剛好在瀏海裡面。

這樣如何使用呢？

反應第三次了。
還是無法解決。",無問題
232,本土串流品牌可以和國際品牌競爭實屬不易，繼續加油,無問題
