negword,score
人人自危,3
跋扈,5
暴行,7
草菅人命,9
醜陋,5
勾引,1
毀謗,3
大肆,3
毒辣,9
反動,5
奉承,3
狼子野心,3
流氓,3
反感,3
噁心,5
囂張,7
欺負,5
青面獠牙,7
人面獸心,9
殺戮,5
滔天,7
歪纏,3
妄自尊大,3
文儈,3
無所不用其極,7
揚言,5
張牙舞爪,7
罪惡滔天,9
小看,1
視如糞土,9
殘毒,5
可氣,3
貪吃,3
凌辱,7
臉皮厚,1
惡劣,7
墳頭上的烏鴉－人人憎,5
深仇大恨,9
嫉惡如仇,7
聳人聽聞,3
狼狽萬狀,3
視如敝屣,7
狗崽子,7
姘頭,5
壞東西,5
地痞,5
不逞之徒,5
雌老虎,5
長舌婦,5
又哭又鬧,3
拗口,1
殘虐,5
悲愁,5
糟心,3
異味,1
委靡,1
掃興,1
絮煩,1
消極,5
羊落虎口,5
抑鬱不平,3
今仇古恨,5
貧苦,5
不知所以,5
若有所喪,3
乘興而來，敗興而歸,1
敗北,3
彆嘴,1
慚怍,3
愧痛,5
手足無措,5
慌慌張張,3
食不甘味,3
意懶心灰,3
井底撈月,5
不逞,3
妒意,3
犯紅眼病,5
八面光,5
抱殘守缺,5
不學無術,7
陳詞濫調,5
處心積慮,5
貪心,7
恭維,1
道路以目,7
民生凋敝,5
政荒民弊,9
罰不當罪,3
拔葵去織,7
欺公罔上,9
賣法市恩,9
貪墨成風,9
助天爲虐,9
久假不歸,5
漿酒霍肉,9
食前方丈,7
攜泰山以超北海,3
磨磚成鏡,1
險阻艱難,1
負俗之累,5
進退狼狽,5
枯魚之肆,5
羅雀掘鼠,3
竄端匿跡,3
以升量石,5
苦樂不均,5
衆寡不敵,5
畏縮不前,5
回寒倒冷,5
千慮一失,5
一念之差,3
逾淮之橘,3
樂極生悲,7
避實就虛,1
狐裘羔袖,3
忍辱含垢,1
固執己見,5
好丹非素,3
人心惟危,7
眉目不清,3
泥古不化,7
煙霞痼疾,3
賞罰不明,5
賞罰無章,5
蓬戶篳門,1
蝸舍荊扉,3
落魄江湖,3
形容憔悴,3
病入膏肓,5
孤行弔影,5
胡說八道,7
信口開河,3
弄嘴弄舌,5
空頭支票,5
言不顧行,3
喋喋不休,3
妄下雌黃,7
不得善終,5
鄭人買履,3
旁敲側擊,3
東烘先生,3
醉酒婦人,3
傍人門戶,3
莫予毒也,5
挾長挾貴,5
八磚學士,5
欺天罔人,7
摧眉折腰,3
滅頂之災,9
無妄之災,5
並日而食,3
環堵蕭然,3
履穿踵決,3
攀高接貴,5
三旬九食,3
一人得道，雞犬昇天,5
流言惑衆,5
造謠生事,5
搬弄是非,5
言三語四,5
殘虐不仁,9
獨夫民賊,5
殺人如草,7
圖財害命,9
猙獰面目,7
日削月朘,7
任人宰割,5
兵臨城下,5
互相殘殺,7
首鼠模棱,3
低眉順眼,3
俯首聽命,5
仰人鼻息,5
尤而效之,3
守錢虜,5
桃代李僵,1
捧頭鼠竄,7
裝瘋賣傻,5
佛口蛇心,7
越扶越醉,5
暴虎馮河,5
暮夜無知,5
倒果爲因,7
捨本事末,5
方枘圓鑿,3
當場出彩,7
此一時，彼一時,3
兄弟鬩牆,7
牽強附會,5
空穴來風,5
欺良壓善,5
肆言謾罵,7
悍然不顧,7
含垢藏疾,7
敗軍之將,5
河東獅吼,3
詠月嘲風,3
呼朋引類,5
拖人下水,5
引水入牆,5
大呼小叫,3
推三阻四,5
包打天下,5
不了了之,3
目無王法,7
雪虐風饕,9
黯然失色,5
窺間伺隙,7
驚弓之鳥,7
打草驚蛇,5
拿糖作醋,5
井底之蛙,5
土雞瓦犬,5
一紙空文,5
怪模怪樣,3
鷹瞵鶚視,3
不衫不履,3
阿諛順旨,5
妨功害能,5
大腹便便,1
老態龍鍾,3
流年不利,3
落荒而逃,7
損兵折將,3
莫此爲甚,9
繡花枕頭,5
不舞之鶴,5
朽木不雕,5
害人不淺,7
無可救藥,7
鼠竊狗盜,5
天誅地滅,9
戴盆望天,3
弄巧成拙,5
以狸餌鼠,5
襲人故技,5
反裘負芻,5
雞胸龜背,3
諂上抑下,5
罪莫大焉,9
身敗名裂,9
一簧兩舌,5
懸斷是非,3
玩物喪志,7
賠了夫人又折兵,7
自食其果,7
緘口藏舌,3
羞與爲伍,5
凡夫俗子,3
不安於室,5
因小失大,5
囫圇吞棗,5
寂天寞地,3
管窺之見,5
傲賢慢士,5
驕兵必敗,5
爭權奪利,5
狼心狗行,7
貪如虎狼,7
買空賣空,5
TNND,5
滾出去,9
HJ,7
JR,7
LJ,5
三天打魚，兩天曬網,5
後果,1
謊言,3
苛刻,5
呆板,3
墮落,1
刻薄,7
曠課,3
拉後腿,5
頗有微詞,5
利令智昏,5
落井下石,7
每況愈下,1
明槍暗箭,1
萎靡,3
倒胃口,5
專橫,5
狡獪,3
死板,3
粗俗,7
巧舌如簧,3
蜻蜓點水,3
輕視,5
散漫,5
碎嘴子,5
情婦,3
慫恿,3
挑毛揀刺,3
熟視無睹,5
忘恩負義,7
無法無天,9
無所用心,5
想入非非,3
庸碌,3
雜亂無章,3
無視,3
窮兇極惡,9
險詐,7
卑污,7
狗彘不若,9
刁頑,7
詭計多端,9
德薄,7
狗熊,7
不遜,5
孤芳自賞,7
驕氣,5
執拗,3
至死不悟,5
乖張,5
裝佯,3
滑頭滑腦,5
一頭兒沉,3
小家子氣,5
膠柱鼓瑟,3
橫蠻,5
賣嘴,3
擺架子,5
率爾,5
愚陋,7
不知死活,5
輕佻,7
佻巧,3
可鄙,7
守舊,3
雜沓,3
苟且,7
心猿意馬,3
朝秦暮楚,5
矯飾,3
離格,5
脅肩諂笑,7
哄騙,5
欺上瞞下,5
弄鬼,3
亂來,5
暴力行爲,5
誘拐,5
倦怠,3
流水無情,3
愛管閒事,3
弛緩,3
低級,7
白日做夢－胡思亂想,5
籠統,1
偏僻,1
事不關己,1
木石心腸,7
糞土不如,7
模模糊糊,1
蝸行牛步,3
小崽子,3
一言堂,5
不可理喻,5
固步自封,5
方巾氣,3
偏失,3
訕笑,5
不合時宜,3
利己,7
慾壑難填,7
淫心,7
凡俗,7
無恥之徒,7
看財奴,5
淫亂,7
淫糜,7
漫罵,5
喜新厭舊,5
以怨報德,7
耍花腔,1
狐媚,5
點頭哈腰,5
漏洞百出,5
浮淺,5
一錢不值,7
以偏概全,3
無理,1
狗屁不通,5
劣跡昭著,9
質次價高,7
名過其實,1
假劣,3
心口不一,3
不好,3
阿Q,3
暗事,3
霸持,3
白字,1
敗子,5
爆烈,3
逼供,3
貶低,5
不堪,9
膽怯,1
賴皮,5
側足,3
差失,3
摻和,3
纏磨,3
吵嚷,3
扯腿,3
陳套,3
吃癟,3
遲到,3
仇敵,5
充數,3
丑角,3
仇隙,5
衝殺,3
出逃,3
瘡痍,7
蠢材,7
次貨,3
促狹,3
篡國,5
錯訛,3
打手,3
黨閥,7
倒竈,5
盜竊,5
地獄,5
喋血,7
毒草,5
毒素,5
堵心,5
短氣,1
躲懶,3
扼殺,5
惡聲,5
兒戲,7
樊籠,3
犯法,5
妨害,3
匪幫,5
匪盜,7
廢人,5
糞土,5
浮蕩,7
負面,3
幹擾,3
割裂,3
苟活,3
股匪,3
官場,3
慣竊,5
鬼話,3
大膽,3
鬼胎,5
過度,3
含冤,5
黑店,3
黑窩,3
哄弄,3
胡言,5
壞話,1
惶悚,7
毀傷,3
穢聞,5
混混兒,5
禍首,5
擠對,3
假冒,5
奸徒,5
僵化,3
狡賴,5
斤斤,3
糾集,5
癩子,3
苛政,5
空耗,1
虧待,3
潰亂,1
稂莠,5
勒逼,5
冷箭,5
利誘,5
凌亂,7
流寇,5
漏網,3
亂臣,3
掠取,1
罵名,5
盲幹,3
沒趣,1
媚態,3
靡費,3
魔掌,5
鼓動,1
末流,3
謀殺,5
惱人,3
泥古,3
蔫兒壞,3
扭曲,7
虐殺,7
叛賣,7
賠帳,5
披靡,3
僻陋,3
騙子,5
潑皮,5
破約,3
乞降,5
愆尤,3
譴謫,5
誚呵,3
侵凌,7
輕信,3
囚徒,3
蛆蟲,7
權門,5
染缸,3
忍心,3
揉磨,3
喪鐘,3
澀滯,3
燒包,5
神傷,5
失寵,5
失神,5
失足,3
勢焰,7
受害,7
受屈,5
耍弄,7
私弊,5
肆行,5
損毀,5
嗒喪,5
儻蕩,5
套話,5
挑弄,7
銅臭,5
頭子,5
土匪,5
退坡,5
歪道,7
頑敵,5
妄念,5
危機,5
違犯,5
窩點,7
蕪鄙,5
西化,3
細弱,3
瑕疵,5
罅漏,5
險兆,5
囂雜,3
效顰,5
邪路,7
脅從,5
腥羶,3
兇器,5
凶宅,5
虛報,5
虛設,5
蓄謀,7
炫惑,5
遜色,3
嚴重,3
仰攀,5
妖物,5
遺禍,5
臆造,5
陰晦,5
淫風,5
淫逸,5
營私,5
憂患,5
誘發,5
迂闊,5
愚癡,5
鬱怒,5
冤結,5
冤頭,5
元惡,5
怨苦,5
雜湊,3
災病,5
油膩,3
草雞,7
冗雜,5
使性子,3
老古董,5
自是,5
誣陷,9
明目張膽,5
暗箭,9
掛羊頭賣狗肉,7
敗落,7
弛懈,3
侵犯,5
算計,7
斤斤計較,7
假意,5
尖刻,5
敷衍,5
觸犯,3
浪子,3
隨便,5
丟醜,9
污濁,3
點火,5
寵兒,3
癡子,7
擾亂,3
生澀,3
狐狸精,7
肆無忌憚,9
率由舊章,3
拘板,3
不管三七二十一,3
退卻,5
謬誤,3
討價還價,1
奴顏婢膝,9
挑唆,5
粗疏,3
瑣碎,3
不對,3
陳陳相因,7
踐踏,9
侵擾,3
模糊,1
恬不知恥,9
栽跟頭,7
東鱗西爪,3
凌虐,7
橫財,3
當道,9
妖冶,5
朝三暮四,5
坍臺,7
任性,3
強弩之末,5
流毒,9
抖摟,5
奸邪,9
落伍,5
奸佞,9
悔過,7
癡心妄想,9
內亂,7
如喪考妣,9
造謠,5
鄙吝,7
討厭,7
疏忽,3
區區,1
險惡,5
氣焰,5
兇險,5
對付,3
好事,5
災殃,5
髒話,5
糟朽,5
遭罪,5
造孽,5
賊窩,5
招風,3
支使,5
指責,5
重濁,3
轉蓬,3
滋蔓,5
自居,5
走過場,5
阻絕,3
嘴笨,3
病懨懨,1
坐守,5
不屑於,5
悽惶,3
勢成騎虎,5
哀婉,1
老虎屁股摸不得,3
米珠薪桂,7
竹籃子打水一場空,5
檮昧,5
暗無天日,7
卑猥,9
憋拗,9
不成器,5
不分青紅皁白,7
不得勁,5
不更事,3
嗜血成性,9
索然乏味,9
死腦筋,9
鬆垮,9
隨風轉舵,9
危機重重,9
無涵養,9
無實效,9
不倫不類,7
不切實際,7
不痛不癢,5
不像話,9
不足取,5
殘破不全,1
味道不好,9
岌岌可危,7
長篇累牘,5
陰悽,9
成事不足，敗事有餘,9
臭烘烘,9
村氣,5
循規蹈矩,3
低卑,7
滴裏嘟嚕,3
動作遲頓,3
腐敗墮落,9
高不成，低不就,3
寡淡,3
乖謬,7
含含混混,5
豪侈,5
鬍子拉茬,3
壞人當道,7
哀怨,5
抱恨終生,9
憋得慌,7
悽切,3
吃後悔藥,3
兔死狐悲,3
戳脊梁骨,5
慘重,7
煩膩,5
急急巴巴,7
慘不忍睹,7
抗議,5
迴腸九轉,9
打掉牙往肚子裏吞－有苦顯不出來,7
杯弓蛇影,5
鄙棄,5
心灰意懶,5
七手八腳,3
沿門托鉢,3
彈盡糧絕,7
舟中敵國,5
小家子相,7
遷延時日,3
見風使舵,7
驕奢淫逸,9
江河日下,3
經驗不足,7
拘禮,3
開小差,7
公子哥兒,3
揚玲打鼓,3
不整齊,3
耳報神,5
狂悖,9
老趕,5
從權,1
哩哩啦啦,3
零七八碎,5
流裏流氣,7
亂了營,7
落俗套,5
沒出息,3
沒禮貌,3
沒心沒肺,7
名義上,5
目光短淺,7
難人,7
一觸即潰,9
紙醉金迷,9
搖搖欲墜,9
拆爛污,1
官倒,5
難相處,3
鬧鬧哄哄,7
脾氣爆躁,3
騙人,9
強行,5
窮奢極侈,9
缺乏才智,5
繞脖子,3
認死理兒,7
弱不禁風,3
散亂,1
傻裏瓜唧,5
無根據,9
喧雜,9
一臉橫肉,9
天怒人怨,7
有失偏頗,9
雜草叢生,9
忸怩作態,9
捉襟見肘,7
潑悍,7
蔫不溜,3
掩耳盜鈴,3
狐疑,3
慘痛,7
鬱結,3
拒諫飾非,9
授人以柄,5
政出多門,7
屈節辱命,7
豆剖瓜分,7
潮呼呼,1
鄙俚,7
贅述,1
土裏土氣,3
莽莽蒼蒼,1
冥頑不靈,9
眼巴巴,5
髒乎乎,5
悲憤填膺,7
鬱憤,5
觸目興嘆,1
憤世嫉俗,5
怨聲載道,5
毛骨悚然,7
負氣,1
奇恥大辱,9
漢奸,5
怒氣沖天,7
盛筵難再,1
朽木死灰,5
嚇人,3
局天蹐地,3
視爲畏途,3
霸佔,5
背信棄義,5
豺狼,5
醜態,3
鉤心鬥角,3
禍國殃民,7
歹徒,7
獨裁,7
負隅頑抗,5
老巢,3
流言蜚語,1
獰笑,5
作嘔,5
盤踞,5
敵對,5
敲骨吸髓,9
恥辱,7
驕慢,3
殺氣騰騰,5
逃竄,3
歪門邪道,5
爲非作歹,5
文痞,3
舞弊,5
野蠻,5
猙獰,7
罪孽深重,7
小瞧,1
卑俗,5
浮滑,3
可恨,3
摧殘,5
厚臉皮,1
蒼蠅藥不死人－噁心,7
無恥之尤,9
食肉寢皮,9
"老鼠過街,人人喊打",5
疾首蹙額,7
喪家之犬,7
視若草芥,7
雜種,7
外遇,5
挖苦,1
狗東西,7
地頭蛇,5
佞人,5
母夜叉,5
誣衊,5
哭鬧,3
白區,1
藏奸,5
憋悶,7
迷茫,3
敗興,1
暴躁,5
不辭而別,3
鬱鬱不得志,7
憂心如搗,7
不知所云,5
惘然若失,5
酷熱,3
削足適履,7
敗筆,3
頭腦發熱,3
臥不安席,9
急來抱佛腳,3
五內如焚,9
不遂,5
醋心,1
紅眼病,5
疑神疑鬼,9
八面圓通,3
笨拙,5
陳腐,7
不懷好意,5
一暴十寒,5
地獄變相,5
人間地獄,5
百里之才,1
欺公誤國,9
賣官鬻爵,9
中飽私囊,9
乘僞行詐,7
一己之私,7
口血未乾,7
結駟聯騎,9
食日萬錢,7
大開方便之門,3
加油加醋,3
自吹自擂,3
參差不齊,5
衆寡懸殊,5
蹈其覆轍,3
舉措失當,3
朝更暮改,7
避重就輕,3
美中不足,3
唾面自乾,5
深閉固拒,5
遺老遺少,5
先入之見,1
不識時變,3
人窮志短,3
累塊積蘇,1
窮閻漏屋,1
池魚之禍,7
浪跡浮蹤,1
形鎖骨立,5
顧影自憐,7
胡言亂語,5
言不及義,3
口惠而實不至,5
鑿空之論,5
嘟嘟囔囔,3
妄言妄聽,7
弟子孩兒,3
出言不遜,5
多端寡要,3
浮生若夢,5
寄人籬下,3
欺大壓小,5
倚財仗勢,5
飽食終日,3
衣來伸手，飯來張口,3
上之所好，下必甚焉,5
旱魃爲虐,3
潑天大禍,7
凶年惡歲,3
不名一錢,1
飢寒交迫,3
附膻逐腥,3
樵蘇不爨,3
趨炎附勢,7
少吃無穿,3
赤舌燒城,5
向壁虛造,5
兩頭白麪,3
酒池肉林,9
始亂終棄,9
草薙禽獮,7
焚書坑儒,7
荼毒生靈,9
置之死地而後快,5
聽天任命,5
聽人穿鼻,5
觀望不前,5
依違兩可,3
低眉折腰,3
俯仰由人,3
召之即來，揮之即去,5
知法犯法,3
一文如命,7
替罪羊,3
裝聾作啞,3
仗氣使酒,3
推波助瀾,3
招權納賄,5
目迷五色,3
顛倒是非,7
捨本逐末,7
格格不入,3
項背相望,5
故技重施,3
東窗事發,7
欲蓋彌彰,5
暮虢朝虞,7
自相殘害,7
前挽後推,5
順水人情,1
欺人太甚,7
肆言如狂,5
橫衝直撞,5
含垢納污,7
伴食宰相,5
夾槍帶棒,3
之乎者也,3
狐朋狗黨,5
惹禍招愆,5
招風攬火,5
沸反盈天,7
委過於人,5
獨行其是,5
草草了事,5
私相授受,5
狂奴故態,7
披毛索厴,7
仗馬寒蟬,5
狗急跳牆,5
盤馬彎弓,5
管窺筐舉,5
食而不化,7
井中視星,3
眼高手低,3
土龍芻狗,5
銀樣鑞槍頭,5
腳高步低,3
奇裝異服,3
阿尊事貴,5
耿耿於懷,3
肥頭大耳,5
蓬頭歷齒,3
龍蟠鳳逸,5
功虧一簣,7
兵敗將亡,5
片甲不存,5
一之謂甚,5
衣架飯囊,5
不務正業,5
朽木糞土,5
何所不爲,5
妖魔鬼怪,5
順手牽羊,3
畢其功於一役,3
斷鶴續鳧,3
潑油救火,5
緣木求魚,5
蔽美揚惡,7
渾然無知,3
目挑心招,3
承顏候色,5
一敗塗地,7
末學膚受,3
一葉蔽目,5
掩目捕雀,3
好肉剜瘡,5
以指澆沸,5
自討苦吃,5
蘭因絮果,5
打情罵俏,3
牛頭不對馬嘴,5
刀頭舔蜜,5
學步邯鄲,3
餖飣堆砌,3
附庸風雅,5
行濁言清,9
德薄才疏,5
見笑大方,5
貽笑大方,3
果於自信,3
矜才使氣,5
心高氣傲,5
殺妻求將,9
東食西宿,5
裒斂無厭,7
貪猥無厭,7
謾上不謾下,5
sigh,3
MD,7
真TM,5
你丫,5
ZE,3
JJWW,7
苟且偷安,5
厚顏無恥,9
昏庸,7
串通,1
膽小如鼠,3
惡習,5
坑害,3
窺伺,3
不滿,3
濫用,1
連篇累牘,1
馬虎,3
肆意,1
明爭暗鬥,1
冷漠,3
怪癖,1
暴戾,5
圓滑,1
破罐破摔,1
懈怠,5
激進,1
自傲,5
窮兵黷武,5
殺害,3
世故,5
隨聲附和,3
螳臂當車,1
挑三揀四,5
玩忽職守,7
僞造,3
無風生浪,5
無知,7
歸罪,3
要挾,5
油滑,3
瞻前顧後,3
漠視,3
惡惡實實,7
陰鷙,7
猥陋,3
衣冠禽獸,9
狡兔三窟,5
愚懦,7
矜誇,3
不自量,5
目空一切,7
傲氣,5
古板,3
心窄,7
乖刺,5
言不由衷,3
順風轉舵,5
以鄰爲壑,7
平板,1
粗野,5
強橫,5
逞能,3
謹小慎微,1
愣頭愣腦,3
愚鈍,7
低劣,5
輕薄,3
佻薄,5
卑賤,9
嬌氣,3
無味,1
粗枝大葉,1
見異思遷,7
諱疾忌醫,5
出格,3
奴顏卑膝,7
瞞哄,5
一手遮天,5
故弄玄虛,5
瞎胡鬧,3
威嚇,5
誇大,1
好逸惡勞,7
六親不認,9
膽小鬼,5
投機主義,5
粗心大意,5
反常,1
開了鎖的猴子－得意忘形,5
囉唆,3
視若路人,3
木心石腹,7
胡裏胡塗,3
不才,7
獨斷獨行,5
不由分說,3
蹈常襲故,5
一偏,3
兔子尾巴長不了,5
嗤笑,5
譏諷,1
損公肥私,7
名繮利鎖,7
物慾橫流,7
猥賤,9
跳樑小醜,3
鐵公雞,5
淫褻,7
負心,5
瞞騙,3
玩花樣,1
諂諛,5
曲意奉承,5
背謬,3
不堪一擊,5
大謬不然,9
不合理,3
生拉硬拽,1
沒臉,5
危言聳聽,3
虛有其表,3
不怎麼樣,3
言行不一,1
不良,3
愛小,3
擺份兒,1
拜金,5
暴民,3
逼婚,3
變態,7
不揚,3
無恥,9
草野,3
差誤,3
讒害,5
纏擾,3
吵擾,3
遲誤,3
叱呵,5
醜類,5
敵國,1
舛錯,3
闖禍,5
蠢蠢,3
次品,3
攛掇,7
篡權,5
錯處,3
噩耗,9
蹈襲,1
盜印,3
敵探,5
頂嘴,3
毒打,7
毒刑,5
短淺,3
訛傳,3
惡臭,5
惡俗,5
二心,7
發傻,3
繁亂,3
犯規,3
飯囊,7
仿冒,1
非笑,5
匪患,5
瘋話,3
浮華,1
負屈,5
干涉,3
公敵,9
構陷,5
蠱惑,7
慣偷,5
鬼物,5
汗顏,5
橫加,3
後患,1
胡謅,1
壞水,3
謊報,3
毀損,3
穢語,5
混事,1
惑亂,5
擠軋,5
假球,1
奸細,5
攪局,3
進讒,3
酒鬼,3
讕言,1
科盲,1
空話,1
酷吏,5
誑語,1
憒亂,5
勒派,5
冷眼,3
連累,5
凌侮,5
漏卮,5
亂離,5
淪落,7
落魄,5
埋沒,3
貓膩,1
沒羞,3
悶棍,1
靡靡,3
明搶,5
魔爪,5
鬧鬼,3
逆產,3
捏弄,5
弄權,5
虐政,7
攀附,5
叛逃,7
噴糞,5
皮臉,5
偏安,5
剽竊,5
叵測,5
欺辱,5
啓釁,5
前科,3
歉收,3
強佔,5
侵權,5
趨奉,5
權勢,5
肉慾,3
塞責,3
傷害,3
折本,5
生番,3
失當,3
失事,5
施暴,7
受賄,5
受辱,5
衰替,3
死地,5
損人,5
貪官,5
逃避,5
套匯,5
跳梁,5
偷安,5
投敵,7
土豪,5
退縮,5
歪風,5
頑鈍,5
妄取,5
威迫,5
違規,5
窩贓,7
蕪劣,5
西崽,3
瑕玷,3
纖弱,5
險症,5
蕭然,3
效尤,7
邪門,5
泄露,5
兇毒,3
兇氣,5
凶兆,5
虛華,5
虛飾,5
蓄意,7
炫弄,5
延誤,5
妖言,5
遺棄,5
役使,5
陰霾,7
淫棍,5
淫雨,5
應聲蟲,5
幽暗,3
誘使,5
迂論,5
愚氓,5
鬱氣,5
冤苦,5
怨詈,5
災害,5
騷動,5
大意,5
稀鬆,3
尖酸刻薄,5
無所作爲,7
貧氣,3
把戲,5
錯亂,7
難看,5
骯髒,9
誇耀,3
破敗,3
紅眼,9
亂糟糟,5
齷齪,9
尷尬,9
猥瑣,9
拖泥帶水,5
詭譎,7
上下其手,9
刺眼,1
淺嘗輒止,3
不值一提,3
荒唐,9
大言不慚,7
寒磣,3
多餘,3
說長道短,5
私通,7
侵佔,5
狹小,3
失禮,3
缺乏,3
鬼魔,9
饞涎欲滴,3
標榜,5
險惡,7
低下,7
荒疏,7
氣焰,7
存心,3
頹敗,5
零落,7
生疏,3
微不足道,5
衝撞,1
木雕泥塑,5
鬱鬱,3
妖豔,5
粗劣,5
奴才,3
禍根,5
侵害,5
敗壞,5
鬆鬆垮垮,7
虛應故事,5
神魂顛倒,3
鞏固,7
嬌滴滴,7
夫子,3
旁若無人,3
癲狂,3
雞飛蛋打,7
完蛋,5
繁雜,3
開心,3
靠不住,3
誅求,7
專擅,5
坐監,7
玄奧,9
過氣,5
呵叱,5
貌似真實的,3
溺愛,5
高姿態,5
固守,1
人禍,5
貧賤,3
平鋪直敘,3
瘦弱,9
阿飛,3
贓款,7
糟爛,3
躁動,5
賊巢,5
窄狹,3
仗勢,5
肇事,5
指斥,5
致命,5
中邪,5
裝樣子,5
濁世,5
恣睢,5
縱慾,5
阻隔,3
鑽心,7
嘴貧,5
罪尤,9
作亂,7
囉裏囉嗦,5
暗地裏,3
卑陋,9
鄙賤,9
要死要活,7
不堪造就,9
世態炎涼,9
水泄不通,9
死死,9
酸澀,9
徒然,9
危機四伏,9
無關大局,9
無人過問,9
下三濫,9
不起眼兒,3
不着調,5
殘酷無情,9
豺狼成性,9
稀裏糊塗,9
咄咄逼人,9
拮据,9
裝腔作勢,9
猶豫不前,9
陰陽怪氣,9
臭不可聞,9
粗手笨腳,5
大手大腳,5
膽小怕事,7
等而下之,5
低智,3
東倒西歪,5
餓殍遍野,7
反社會,9
費時,5
膚皮潦草,7
乾乾巴巴,1
夠嗆,3
孤陋寡聞,7
寡言少語,3
鬨然,1
花拳繡腿,5
晦暗,7
穢亂,9
昏昧,9
昏憒,9
混混沌沌,9
吃不準,3
躊躇不前,3
禍從天降,9
呆住,3
惡罵,7
發飆,5
費精神,5
顧忌,5
慌恐,5
雞蛋裏挑骨頭,3
看淡,5
清算,3
假正經,7
假模假式,7
心如蛇蠍,7
心眼小,9
學識譾陋,9
澆漓,7
矯情造作,7
空空洞洞,7
口頭上,3
苦不唧,5
狂妄自大,9
老大難,7
累卵,5
利已,3
零亂,5
令人費解,7
令人厭惡,9
亂烘烘,7
沒勁,3
沒頭腦,5
沒有學問,3
木頭木腦,5
男盜女娼,9
行爲不端,9
硬生生,9
虛無飄渺,9
鬧得慌,7
蔫頭耷腦,5
蓬頭垢面,7
偏斜,5
憑空,5
欠完善,7
禽獸不如,9
缺乏教養,5
任縱,7
刁鑽,3
傲視,1
不是滋味兒,3
黑濛濛,3
荊棘載途,7
茫茫然,7
無立足之地,5
盲人騎瞎馬,3
乳臭未乾,9
神志委靡,5
無故,9
無目的,9
竹籃打水,9
最差,9
死有餘辜,9
無常,9
老於世故,3
形影相弔,9
庸庸碌碌,9
魚龍混雜,9
賊溜溜,9
忸忸怩怩,9
路人皆知,3
愛毛反裘,9
綱紀廢弛,9
三旨相公,5
移天易日,9
賣國求利,9
蹙國喪師,7
妒火,3
無可辯駁,5
經心,5
憂憤,5
泄憤,3
一刀兩斷,5
艴然不悅,3
怒目而視,5
聲色俱厲,5
屁滾尿流,9
屈服,1
暗算,3
暴徒,7
蠶食鯨吞,7
醜劇,1
勾結,3
詭計,7
荒淫,7
打家劫舍,5
毒害,7
惡人,7
逢迎,3
狼心狗肺,7
溜鬚拍馬,3
惡感,3
邪惡,9
迫害,7
無禮,5
侵入,3
曲意逢迎,5
色厲內荏,3
鄙視,7
